threshold,scope,bin,predictions,labels,tp,fp,fn,precision,recall,f1
0.05,class,CYCLIST,67,0,0,67,0,0.0,0.0,0.0
0.05,class,PEDESTRIAN,17469,0,0,17469,0,0.0,0.0,0.0
0.05,class,VEHICLE,30967,4337,3351,27616,986,0.1082119675783899,0.7726539082314964,0.1898368456832087
0.05,distance_bins,0-30 m,,2087,1919,,168,,0.9195016770483948,
0.05,distance_bins,30-50 m,,1088,733,,355,,0.6737132352941176,
0.05,distance_bins,50-75 m,,1060,692,,368,,0.6528301886792452,
0.05,distance_bins,75+ m,,102,7,,95,,0.06862745098039216,
0.05,point_bins,0-4 points,,932,173,,759,,0.18562231759656653,
0.05,point_bins,5-9 points,,204,144,,60,,0.7058823529411765,
0.05,point_bins,10-19 points,,324,253,,71,,0.7808641975308642,
0.05,point_bins,20-49 points,,549,485,,64,,0.8834244080145719,
0.05,point_bins,50+ points,,2328,2296,,32,,0.9862542955326461,
0.1,class,CYCLIST,14,0,0,14,0,0.0,0.0,0.0
0.1,class,PEDESTRIAN,3486,0,0,3486,0,0.0,0.0,0.0
0.1,class,VEHICLE,7471,4337,3142,4329,1195,0.4205594967206532,0.7244639151487203,0.5321815718157182
0.1,distance_bins,0-30 m,,2087,1863,,224,,0.8926689027311931,
0.1,distance_bins,30-50 m,,1088,679,,409,,0.6240808823529411,
0.1,distance_bins,50-75 m,,1060,595,,465,,0.5613207547169812,
0.1,distance_bins,75+ m,,102,5,,97,,0.049019607843137254,
0.1,point_bins,0-4 points,,932,80,,852,,0.08583690987124463,
0.1,point_bins,5-9 points,,204,102,,102,,0.5,
0.1,point_bins,10-19 points,,324,225,,99,,0.6944444444444444,
0.1,point_bins,20-49 points,,549,447,,102,,0.8142076502732241,
0.1,point_bins,50+ points,,2328,2288,,40,,0.9828178694158075,
0.15,class,CYCLIST,4,0,0,4,0,0.0,0.0,0.0
0.15,class,PEDESTRIAN,1243,0,0,1243,0,0.0,0.0,0.0
0.15,class,VEHICLE,4300,4337,2989,1311,1348,0.6951162790697675,0.6891860733225732,0.6921384740071784
0.15,distance_bins,0-30 m,,2087,1835,,252,,0.8792525155725922,
0.15,distance_bins,30-50 m,,1088,638,,450,,0.5863970588235294,
0.15,distance_bins,50-75 m,,1060,514,,546,,0.4849056603773585,
0.15,distance_bins,75+ m,,102,2,,100,,0.0196078431372549,
0.15,point_bins,0-4 points,,932,48,,884,,0.05150214592274678,
0.15,point_bins,5-9 points,,204,76,,128,,0.37254901960784315,
0.15,point_bins,10-19 points,,324,178,,146,,0.5493827160493827,
0.15,point_bins,20-49 points,,549,411,,138,,0.7486338797814208,
0.15,point_bins,50+ points,,2328,2276,,52,,0.9776632302405498,
0.2,class,CYCLIST,1,0,0,1,0,0.0,0.0,0.0
0.2,class,PEDESTRIAN,573,0,0,573,0,0.0,0.0,0.0
0.2,class,VEHICLE,3396,4337,2901,495,1436,0.8542402826855123,0.668895549919299,0.7502909608172765
0.2,distance_bins,0-30 m,,2087,1813,,274,,0.8687110685194058,
0.2,distance_bins,30-50 m,,1088,614,,474,,0.5643382352941176,
0.2,distance_bins,50-75 m,,1060,472,,588,,0.44528301886792454,
0.2,distance_bins,75+ m,,102,2,,100,,0.0196078431372549,
0.2,point_bins,0-4 points,,932,31,,901,,0.033261802575107295,
0.2,point_bins,5-9 points,,204,54,,150,,0.2647058823529412,
0.2,point_bins,10-19 points,,324,157,,167,,0.4845679012345679,
0.2,point_bins,20-49 points,,549,389,,160,,0.7085610200364298,
0.2,point_bins,50+ points,,2328,2270,,58,,0.9750859106529209,
0.25,class,PEDESTRIAN,295,0,0,295,0,0.0,0.0,0.0
0.25,class,VEHICLE,3062,4337,2820,242,1517,0.9209666884389288,0.6502190454231035,0.7622651709690499
0.25,distance_bins,0-30 m,,2087,1799,,288,,0.8620028749401054,
0.25,distance_bins,30-50 m,,1088,585,,503,,0.5376838235294118,
0.25,distance_bins,50-75 m,,1060,434,,626,,0.40943396226415096,
0.25,distance_bins,75+ m,,102,2,,100,,0.0196078431372549,
0.25,point_bins,0-4 points,,932,23,,909,,0.02467811158798283,
0.25,point_bins,5-9 points,,204,39,,165,,0.19117647058823528,
0.25,point_bins,10-19 points,,324,127,,197,,0.39197530864197533,
0.25,point_bins,20-49 points,,549,371,,178,,0.6757741347905283,
0.25,point_bins,50+ points,,2328,2260,,68,,0.9707903780068728,
0.3,class,PEDESTRIAN,148,0,0,148,0,0.0,0.0,0.0
