threshold,predictions,labels,tp,fp,fn,precision,recall,f1
0.05,48503,4337,3351,45152,986,0.06908850998907284,0.7726539082314964,0.12683573050719152
0.1,10971,4337,3142,7829,1195,0.2863913954972199,0.7244639151487203,0.41050431147112615
0.15,5547,4337,2989,2558,1348,0.5388498287362539,0.6891860733225732,0.604815864022663
0.2,3970,4337,2901,1069,1436,0.7307304785894206,0.668895549919299,0.69844709281329
0.25,3357,4337,2820,537,1517,0.8400357462019661,0.6502190454231035,0.7330387314790745
0.3,3012,4337,2745,267,1592,0.9113545816733067,0.632925985704404,0.7470404136617227
0.35,2816,4337,2669,147,1668,0.9477982954545454,0.6154023518561217,0.7462603103592899
0.4,2683,4337,2596,87,1741,0.9675736116287738,0.5985704403965875,0.7396011396011395
0.5,2435,4337,2404,31,1933,0.9872689938398357,0.5543002075167166,0.7099822799763733
0.6,2185,4337,2177,8,2160,0.9963386727688787,0.5019598801014526,0.6675866298681385
0.7,1812,4337,1812,0,2525,1.0,0.41780032280378143,0.5893641242478452
